Origen,Destino,Tipo_Origen,Tipo_Destino,Latitud_Origen,Longitud_Origen,Latitud_Destino,Longitud_Destino,Tiempo_Recorrido,Distancia_km,Costo,Fecha_Hora
La Molina,Surco,Punto de Entrega,Punto de Entrega,-11.827279142055882,-77.0089311975927,-11.929343205487417,-77.1502812233672,44:04,26.51,63.86,2024-10-03 21:12:51
Jesús María,Rímac,Centro de Distribución,Punto de Entrega,-11.994210671231166,-76.94269587644872,-12.198566255523792,-76.90576186166254,34:10,18.27,38.03,2024-10-16 21:12:51
Lince,Magdalena,Centro de Distribución,Punto de Entrega,-11.888585031037007,-76.81603803812546,-12.029327850299936,-76.83285812775752,79:29,64.26,161.11,2024-09-28 21:12:51
La Molina,Lince,Punto de Entrega,Centro de Distribución,-11.931372497496847,-77.02703267403687,-12.178337109231233,-76.88804784900198,76:46,40.92,73.35,2024-10-03 21:12:51
Ate,Barranco,Centro de Distribución,Punto de Entrega,-11.934653070647622,-77.12063284510067,-11.802056179037649,-77.03299601519423,37:58,7.17,18.96,2024-09-22 21:12:51
San Isidro,Surco,Centro de Distribución,Punto de Entrega,-11.84868258010742,-77.08921749027927,-12.130148472349427,-76.97223274820612,82:55,60.68,60.13,2024-10-19 21:12:51
San Isidro,Barranco,Centro de Distribución,Punto de Entrega,-11.926682175505457,-77.1303475025206,-11.928552032722427,-77.05928219934393,107:36,78.03,199.09,2024-10-06 21:12:51
Magdalena,Pueblo Libre,Centro de Distribución,Punto de Entrega,-12.178280788732467,-76.81374453165728,-12.14118817202385,-77.08429349086857,93:13,39.81,124.15,2024-10-14 21:12:51
San Isidro,Miraflores,Punto de Entrega,Centro de Distribución,-12.055686303515007,-76.9314539822549,-12.169116521108151,-77.00252627512228,32:58,5.73,21.41,2024-10-15 21:12:51
Jesús María,Pueblo Libre,Centro de Distribución,Punto de Entrega,-12.15136607813195,-76.81985381857113,-12.07849755505976,-76.82433553783405,14:09,4.15,12.22,2024-10-18 21:12:51
Lima Centro,Los Olivos,Punto de Entrega,Punto de Entrega,-11.841211530820258,-76.8743169603553,-12.079382651095623,-76.97034291561387,42:00,17.6,33.11,2024-10-15 21:12:51
Ate,San Juan de Lurigancho,Centro de Distribución,Punto de Entrega,-12.048244416157516,-76.84812096644248,-11.982387873995803,-77.00763774481528,50:00,19.42,50.56,2024-10-17 21:12:51
San Miguel,La Victoria,Punto de Entrega,Punto de Entrega,-12.031939910823233,-76.80623346881717,-12.1377529780454,-76.85345274561067,25:45,13.88,20.25,2024-10-04 21:12:51
Lince,Breña,Centro de Distribución,Punto de Entrega,-11.826179266723027,-76.81505604230468,-12.014935527019748,-76.82648295968713,22:59,16.54,23.95,2024-09-20 21:12:51
Lima Centro,Los Olivos,Centro de Distribución,Punto de Entrega,-12.011006912067998,-77.13528820108525,-12.104673958092649,-77.1836162761185,25:57,21.2,23.95,2024-09-20 21:12:51
Pueblo Libre,Lince,Punto de Entrega,Centro de Distribución,-12.17660094405628,-77.03645062528862,-12.07497070503381,-77.15733875523563,62:22,37.96,53.05,2024-09-19 21:12:51
Los Olivos,La Molina,Centro de Distribución,Punto de Entrega,-12.020110986340924,-77.09328972544208,-11.977568671633996,-76.8283628896081,21:49,4.49,13.42,2024-10-02 21:12:51
Comas,San Isidro,Centro de Distribución,Punto de Entrega,-11.811045314420626,-77.05771111134669,-12.098842627587235,-76.83974077615476,53:00,32.51,67.73,2024-09-25 21:12:51
Surco,Rímac,Punto de Entrega,Centro de Distribución,-11.987306328046543,-76.97227878094068,-12.197520290316277,-77.04998940193329,113:45,48.88,135.34,2024-09-23 21:12:51
Ate,San Borja,Centro de Distribución,Punto de Entrega,-11.853474526608139,-76.96302191630619,-12.115775951082172,-76.97117064823901,41:54,26.5,50.89,2024-10-18 21:12:51
Breña,Chorrillos,Centro de Distribución,Punto de Entrega,-12.184989573954592,-76.9183842073548,-12.045353212646463,-76.93530462322963,65:12,27.34,78.91,2024-09-25 21:12:51
Comas,San Borja,Centro de Distribución,Punto de Entrega,-12.145486469111873,-76.91881862754447,-11.934385050717633,-77.16336925496522,75:41,45.64,64.62,2024-09-29 21:12:51
Lima Centro,San Juan de Lurigancho,Centro de Distribución,Punto de Entrega,-11.964759153078989,-77.1917633711591,-11.877960177309381,-76.94007769520216,76:03,62.32,124.17,2024-09-24 21:12:51
Jesús María,Ate,Centro de Distribución,Punto de Entrega,-11.827348184233191,-76.80468551006466,-12.122390440877856,-77.11763470667135,102:45,30.25,68.47,2024-10-04 21:12:51
San Isidro,Miraflores,Centro de Distribución,Punto de Entrega,-12.191714652752378,-76.80505202047127,-12.031268210942997,-77.18075797428138,41:45,13.07,32.97,2024-10-02 21:12:51
Surco,Rímac,Centro de Distribución,Punto de Entrega,-12.000045991947765,-76.87521724618027,-11.985326307528439,-77.06787200476992,9:35,6.34,15.22,2024-10-17 21:12:51
La Molina,Magdalena,Centro de Distribución,Punto de Entrega,-12.011544810598785,-76.87376518738385,-11.970213782557193,-76.83794728606846,43:44,10.66,36.05,2024-10-06 21:12:51
Jesús María,Rímac,Punto de Entrega,Punto de Entrega,-11.81615332588684,-76.97707440151297,-11.912051928145354,-76.88664281247458,51:37,18.77,48.55,2024-09-28 21:12:51
Ate,Barranco,Centro de Distribución,Punto de Entrega,-11.852570644150234,-77.1626690768754,-12.111223897610152,-76.98591112313969,23:37,13.84,21.78,2024-10-01 21:12:51
Lince,Magdalena,Centro de Distribución,Punto de Entrega,-11.964108906241883,-77.11939735184286,-12.09790367005204,-76.80569021562141,74:23,32.5,82.98,2024-09-28 21:12:51
La Molina,San Juan de Lurigancho,Centro de Distribución,Punto de Entrega,-12.131957884767225,-76.81870540291868,-12.115442747860142,-76.84733963714105,42:50,23.24,62.8,2024-09-23 21:12:51
Barranco,La Victoria,Centro de Distribución,Punto de Entrega,-11.986820397546108,-76.83897681703655,-12.151142502809714,-76.97598363753077,58:53,27.55,82.32,2024-09-25 21:12:51
La Victoria,Rímac,Centro de Distribución,Punto de Entrega,-11.83465622215398,-77.08611537134853,-12.121675893169469,-76.85404238735599,82:15,64.03,88.29,2024-09-29 21:12:51
San Isidro,La Molina,Centro de Distribución,Punto de Entrega,-11.80045115529105,-77.05618897498337,-12.094082204182923,-77.14968502379871,66:53,44.36,57.19,2024-10-15 21:12:51
Surco,Ate,Centro de Distribución,Punto de Entrega,-12.081610620569654,-77.03228301570422,-11.91784618799015,-77.01404930619314,78:51,30.37,60.82,2024-10-12 21:12:51
Comas,La Victoria,Punto de Entrega,Centro de Distribución,-11.801648809401673,-76.90465340918885,-12.07950408773907,-76.88422417004153,64:23,42.17,104.97,2024-10-12 21:12:51
Ate,Pueblo Libre,Centro de Distribución,Punto de Entrega,-12.197950932104545,-76.99574306484749,-11.98662610552261,-77.0270975415091,96:58,33.97,72.39,2024-10-15 21:12:51
Magdalena,Barranco,Punto de Entrega,Centro de Distribución,-12.067707058804249,-77.11124125640819,-12.09427355040933,-77.03477706425107,17:41,13.3,24.6,2024-10-15 21:12:51
San Miguel,Chorrillos,Centro de Distribución,Punto de Entrega,-12.044003432763473,-77.05284029750423,-12.117163012764099,-77.12250930609439,95:16,42.37,83.06,2024-09-27 21:12:51
San Borja,Comas,Punto de Entrega,Centro de Distribución,-11.986576307592603,-76.94393092836975,-11.956196192389896,-76.83460491697943,67:08,41.48,93.78,2024-09-29 21:12:51
Rímac,Lima Centro,Centro de Distribución,Punto de Entrega,-11.832862175372718,-76.84082060627489,-12.04582831009322,-77.07255786177451,38:42,30.25,61.77,2024-10-07 21:12:51
Los Olivos,San Borja,Punto de Entrega,Centro de Distribución,-12.1616552851514,-77.14785574907415,-11.890530057798774,-77.08377818418015,18:59,7.2,22.09,2024-10-06 21:12:51
San Juan de Lurigancho,Comas,Centro de Distribución,Punto de Entrega,-11.991357760612468,-76.81640201988078,-12.00091823603125,-77.03035556826593,28:07,16.15,48.25,2024-09-19 21:12:51
La Victoria,San Borja,Punto de Entrega,Centro de Distribución,-12.012525288422964,-76.97055190429246,-12.178435507477701,-77.0537046681563,19:11,7.66,24.35,2024-09-21 21:12:51
Lima Centro,Ate,Centro de Distribución,Punto de Entrega,-11.839468290991475,-77.00733177642569,-12.136358650998371,-77.09042838270335,51:49,42.0,93.67,2024-10-19 21:12:51
Breña,San Juan de Lurigancho,Punto de Entrega,Punto de Entrega,-12.026259932001109,-76.85259178001715,-12.024195190833893,-76.99835131694094,30:56,22.55,33.57,2024-09-24 21:12:51
La Molina,San Miguel,Punto de Entrega,Punto de Entrega,-11.903583731960174,-76.93857938565418,-11.913135405347326,-76.99701247535819,95:54,69.66,141.59,2024-09-22 21:12:51
La Victoria,La Molina,Punto de Entrega,Centro de Distribución,-12.107511324340285,-77.05774362067896,-11.9971987346534,-76.96771183901488,34:15,17.52,36.8,2024-10-04 21:12:51
Lima Centro,San Miguel,Punto de Entrega,Centro de Distribución,-12.137921072302793,-76.91886388223504,-12.199271340593132,-76.91031508655317,20:00,14.34,35.62,2024-10-14 21:12:51
La Molina,Chorrillos,Punto de Entrega,Centro de Distribución,-12.00640116874162,-77.19948241556357,-11.806721099201672,-77.16064127650255,18:00,9.78,17.72,2024-10-13 21:12:51
Pueblo Libre,Barranco,Centro de Distribución,Punto de Entrega,-11.823305440025514,-77.19509597176375,-12.135712483060056,-77.03997031705815,93:40,46.81,127.48,2024-10-07 21:12:51
Chorrillos,San Miguel,Punto de Entrega,Punto de Entrega,-12.020052142324213,-77.12292057471846,-12.000725092203188,-77.01328776596448,26:30,9.65,16.6,2024-10-12 21:12:51
Chorrillos,Jesús María,Centro de Distribución,Punto de Entrega,-12.179920067576425,-77.05684739338568,-11.84063445835185,-77.08256436516152,100:50,33.55,67.98,2024-10-18 21:12:51
San Miguel,Lince,Centro de Distribución,Punto de Entrega,-12.033356240811992,-77.00517276329563,-12.149569287587173,-76.95913382314474,112:03,42.65,122.58,2024-10-18 21:12:51
Miraflores,Barranco,Centro de Distribución,Punto de Entrega,-12.012730997304496,-76.82583194287938,-12.172612960271815,-77.06442032997761,31:26,26.12,62.4,2024-10-15 21:12:51
Magdalena,Ate,Centro de Distribución,Punto de Entrega,-12.080641993410183,-76.99048625783598,-11.951960967958005,-76.92604827980908,78:30,37.98,77.08,2024-10-13 21:12:51
Ate,Magdalena,Centro de Distribución,Punto de Entrega,-12.038109401018708,-76.93148126887824,-12.120407859102594,-76.99354874073684,19:37,13.95,20.83,2024-09-24 21:12:51
Rímac,Los Olivos,Centro de Distribución,Punto de Entrega,-11.962375644200497,-77.08184002317569,-11.83741862896089,-77.02753778142008,116:32,91.86,176.73,2024-10-09 21:12:51
Rímac,Magdalena,Centro de Distribución,Punto de Entrega,-12.071722564449852,-76.94141771271975,-12.150039876444955,-77.01275106392796,23:45,16.37,23.26,2024-10-05 21:12:51
La Molina,Breña,Centro de Distribución,Punto de Entrega,-12.183676588711362,-76.92493597197146,-11.821555121856804,-76.94890512364441,68:00,19.05,69.04,2024-09-26 21:12:51
San Juan de Lurigancho,San Isidro,Centro de Distribución,Punto de Entrega,-11.801862765629942,-77.14837668936447,-11.847743058595047,-77.03893560969631,51:52,10.88,25.53,2024-10-05 21:12:51
San Isidro,La Molina,Punto de Entrega,Centro de Distribución,-11.82141446355517,-77.17488144468501,-12.14888361804865,-77.14858391593582,28:00,10.41,29.8,2024-09-19 21:12:51
Surco,La Victoria,Punto de Entrega,Centro de Distribución,-12.165671945525341,-76.965480426645,-12.024722775109229,-76.9112689313857,97:11,50.01,89.71,2024-10-10 21:12:51
Los Olivos,San Juan de Lurigancho,Punto de Entrega,Centro de Distribución,-11.875931701138935,-77.15812332269834,-11.917126068706763,-77.1178982647337,32:16,10.54,30.39,2024-10-18 21:12:51
Los Olivos,Barranco,Centro de Distribución,Punto de Entrega,-12.170203020096363,-76.99727784771422,-11.9372413168636,-76.95091681276452,19:37,13.46,21.08,2024-10-05 21:12:51
Los Olivos,Lince,Punto de Entrega,Punto de Entrega,-12.183321762339991,-77.17188822638694,-12.197890796908425,-77.12612343726464,95:21,66.15,115.92,2024-09-30 21:12:51
Los Olivos,Pueblo Libre,Punto de Entrega,Centro de Distribución,-11.819539727296144,-77.09917560767002,-12.031376188787188,-77.19567250920652,21:59,3.99,21.16,2024-10-13 21:12:51
Miraflores,Rímac,Punto de Entrega,Centro de Distribución,-11.836000553557115,-76.80548146151838,-12.12020653823723,-77.06956367273392,75:44,19.72,66.9,2024-09-23 21:12:51
Los Olivos,Jesús María,Punto de Entrega,Centro de Distribución,-12.18949142162115,-76.92147915638779,-11.82614041203506,-77.1478155076761,95:59,78.99,141.35,2024-10-08 21:12:51
Magdalena,San Miguel,Punto de Entrega,Centro de Distribución,-11.937641298844394,-77.0747575442297,-11.882335667730343,-77.04170480854636,41:52,32.79,38.84,2024-10-02 21:12:51
Jesús María,Ate,Centro de Distribución,Punto de Entrega,-11.851214063116078,-77.06153690955963,-12.020893569412431,-77.11022983944441,13:52,10.33,24.05,2024-09-26 21:12:51
San Miguel,Surco,Centro de Distribución,Punto de Entrega,-11.908950768923162,-77.07746794213392,-12.168715766161647,-77.01370005845529,104:08,17.78,87.75,2024-09-22 21:12:51
La Victoria,Pueblo Libre,Centro de Distribución,Punto de Entrega,-12.05214032178821,-76.94097607888862,-11.934770813670108,-76.84133811672625,116:38,74.21,143.87,2024-10-07 21:12:51
San Borja,Magdalena,Centro de Distribución,Punto de Entrega,-12.064111588357758,-76.92500310025609,-12.001842470701224,-77.11491893008868,28:45,10.84,23.19,2024-10-05 21:12:51
Breña,Comas,Centro de Distribución,Punto de Entrega,-11.984497857332691,-76.99186602593085,-11.817838657523135,-76.82218011427797,97:17,64.31,149.33,2024-10-07 21:12:51
La Victoria,Miraflores,Punto de Entrega,Punto de Entrega,-11.84585397877445,-76.8493747611439,-11.928773756163702,-76.86348054604744,64:34,11.64,37.55,2024-10-18 21:12:51
San Miguel,Rímac,Punto de Entrega,Centro de Distribución,-12.16304794413667,-77.10555423924147,-11.847268901147006,-76.82445442779824,34:13,5.95,26.33,2024-10-04 21:12:51
Los Olivos,Surco,Centro de Distribución,Punto de Entrega,-11.942621496294036,-76.8327541340337,-11.925998586949463,-76.81267597114551,17:52,11.22,32.63,2024-09-22 21:12:51
Lince,Breña,Punto de Entrega,Centro de Distribución,-12.18137428708402,-76.95743713352644,-11.803741874640153,-76.86711993388947,27:26,13.83,40.37,2024-10-13 21:12:51
Miraflores,San Juan de Lurigancho,Punto de Entrega,Centro de Distribución,-11.873345526266574,-76.9203478276936,-12.151492249318121,-76.80848793612829,95:13,31.61,70.78,2024-09-22 21:12:51
La Molina,Pueblo Libre,Centro de Distribución,Punto de Entrega,-11.836657986139121,-77.19268333203307,-12.188298228157366,-77.11048202572138,58:45,43.88,78.25,2024-10-18 21:12:51
San Isidro,San Borja,Punto de Entrega,Centro de Distribución,-12.15656752622103,-76.93672469072835,-11.882920193532488,-76.89180083492666,106:38,19.06,65.79,2024-10-10 21:12:51
Barranco,Jesús María,Centro de Distribución,Punto de Entrega,-11.89441863215021,-77.0558661569458,-12.005990053391118,-77.12796868385571,36:22,16.82,22.24,2024-10-04 21:12:51
Miraflores,Chorrillos,Centro de Distribución,Punto de Entrega,-11.886253789302453,-77.19473491922983,-12.076298717558133,-76.81889280890351,119:14,58.36,95.74,2024-09-22 21:12:51
La Molina,Comas,Centro de Distribución,Punto de Entrega,-11.806560391768876,-76.91154420610023,-11.988441856151317,-76.96994529051535,111:31,69.81,142.71,2024-10-11 21:12:51
La Molina,Barranco,Centro de Distribución,Punto de Entrega,-12.139978593686953,-77.03000491831729,-12.168309165015375,-76.83348757787611,106:49,63.16,117.16,2024-09-25 21:12:51
Jesús María,Surco,Centro de Distribución,Punto de Entrega,-11.921010586287423,-76.90289394094803,-12.022667685319243,-76.86011307688982,70:58,25.3,57.83,2024-09-27 21:12:51
Jesús María,Ate,Punto de Entrega,Punto de Entrega,-11.925360403405204,-76.89917492202292,-12.074972147307967,-77.16121590499627,63:36,38.17,39.97,2024-10-12 21:12:51
Barranco,Los Olivos,Punto de Entrega,Centro de Distribución,-11.90932109739857,-77.17185859281435,-11.991597235742766,-77.02712251507289,99:20,71.97,152.17,2024-10-10 21:12:51
Surco,San Borja,Centro de Distribución,Punto de Entrega,-11.917212563232171,-76.95088056441256,-11.910272962522928,-77.08349092005687,8:50,6.81,11.62,2024-10-06 21:12:51
Los Olivos,Jesús María,Centro de Distribución,Punto de Entrega,-11.833058665297152,-76.91165288941218,-12.164222017102109,-77.00051933283486,99:33,33.73,72.61,2024-10-03 21:12:51
Chorrillos,Pueblo Libre,Punto de Entrega,Punto de Entrega,-12.106054879487914,-76.82636042662645,-11.977849290838428,-77.14347899100277,50:35,37.28,90.34,2024-10-09 21:12:51
Surco,Miraflores,Punto de Entrega,Punto de Entrega,-11.925875149107542,-76.951787958059,-11.949086418314108,-77.0052325586725,79:26,46.79,100.56,2024-10-08 21:12:51
Surco,La Victoria,Punto de Entrega,Punto de Entrega,-11.975304194367613,-76.9141725738755,-11.962708061345497,-77.12759480219437,60:14,46.37,82.59,2024-09-20 21:12:51
Surco,Pueblo Libre,Punto de Entrega,Punto de Entrega,-11.827016059339332,-76.80402870357379,-12.09084752614208,-77.04079734760457,10:01,6.33,15.49,2024-10-12 21:12:51
Pueblo Libre,Rímac,Centro de Distribución,Punto de Entrega,-12.011213929017893,-76.81494247762403,-12.110272633723474,-76.89032584555157,96:12,60.76,75.07,2024-10-18 21:12:51
Comas,Chorrillos,Centro de Distribución,Punto de Entrega,-12.158931272223896,-77.19814690774867,-12.181166664914725,-77.10329101220967,96:43,59.68,79.5,2024-09-19 21:12:51
Pueblo Libre,Miraflores,Punto de Entrega,Centro de Distribución,-11.927024791530394,-76.92851650138076,-11.820287795541196,-76.99818340236492,116:29,86.38,194.12,2024-10-14 21:12:51
San Juan de Lurigancho,Lince,Centro de Distribución,Punto de Entrega,-11.823364997594304,-76.96926124899566,-12.083775347291047,-77.0323459983554,114:48,73.28,182.98,2024-09-22 21:12:51
Miraflores,Los Olivos,Punto de Entrega,Punto de Entrega,-11.898339850097507,-77.19694615079095,-12.064890085649475,-76.90951299043219,80:54,21.57,50.34,2024-10-14 21:12:51
Lima Centro,Magdalena,Punto de Entrega,Centro de Distribución,-11.906970724134974,-77.10706236076169,-11.883826094173813,-76.80904862593175,115:32,87.54,173.47,2024-10-10 21:12:51
Surco,Miraflores,Centro de Distribución,Punto de Entrega,-12.145562741438956,-76.87626373778691,-12.006088539396796,-77.17261949863172,35:15,7.26,19.46,2024-10-16 21:12:51
Miraflores,Chorrillos,Centro de Distribución,Punto de Entrega,-11.902395827682255,-76.86898965028871,-11.945109601277972,-77.19895731009125,81:21,37.67,107.97,2024-09-28 21:12:51
San Borja,Rímac,Punto de Entrega,Punto de Entrega,-12.073583273494997,-77.01072408219942,-11.856607867133727,-76.88511802157761,112:05,87.71,160.52,2024-09-20 21:12:51
Surco,Jesús María,Punto de Entrega,Punto de Entrega,-11.978240887179474,-76.83753340078135,-11.858957024700558,-76.85361464776929,111:45,45.28,65.56,2024-10-17 21:12:51
Lince,Barranco,Punto de Entrega,Punto de Entrega,-11.878064050439923,-76.95214962315619,-11.985651524819279,-77.15547139526399,62:54,29.3,74.12,2024-09-22 21:12:51
Magdalena,Lima Centro,Punto de Entrega,Punto de Entrega,-11.937836031018632,-76.92403360241421,-11.821531484463563,-76.94045486621282,36:22,22.04,29.04,2024-09-24 21:12:51
Comas,Lima Centro,Centro de Distribución,Punto de Entrega,-11.941905993869447,-76.89639732798258,-11.947543551299043,-76.91267258767904,113:39,45.64,124.19,2024-10-01 21:12:51
Lima Centro,San Isidro,Punto de Entrega,Punto de Entrega,-12.090101293921958,-77.04050802943148,-12.062271133840248,-77.11762637616708,117:16,53.06,132.77,2024-09-20 21:12:51
La Victoria,Magdalena,Punto de Entrega,Punto de Entrega,-12.046685925927585,-76.9405262355833,-11.998035155299666,-77.183727208983,38:23,11.45,43.94,2024-10-07 21:12:51
Surco,San Isidro,Centro de Distribución,Punto de Entrega,-11.824538997455562,-76.82241184385718,-12.061062773148322,-77.02325822699686,61:46,12.53,46.25,2024-10-19 21:12:51
Los Olivos,San Isidro,Centro de Distribución,Punto de Entrega,-12.060655251621784,-77.17056416771959,-11.855186522378114,-76.8609916708248,44:19,25.54,66.39,2024-10-18 21:12:51
Barranco,Surco,Centro de Distribución,Punto de Entrega,-11.947742402453928,-77.12446659821019,-11.863399193391274,-77.00602737883158,27:55,21.02,36.06,2024-10-12 21:12:51
Rímac,Barranco,Centro de Distribución,Punto de Entrega,-11.805157122370543,-76.854542011816,-11.931271030255013,-76.95560208802205,76:12,28.43,50.24,2024-10-11 21:12:51
Pueblo Libre,Los Olivos,Centro de Distribución,Punto de Entrega,-12.012449765381415,-76.93679895421324,-12.131671224540774,-77.00271547486739,54:28,43.67,94.07,2024-09-28 21:12:51
Ate,Surco,Centro de Distribución,Punto de Entrega,-12.122807729961872,-77.12443845255324,-11.918903578782263,-76.8080592682706,36:04,24.5,54.64,2024-10-08 21:12:51
San Juan de Lurigancho,Chorrillos,Centro de Distribución,Punto de Entrega,-11.85359975322804,-77.18460573159625,-11.830337098230448,-77.15893270729539,10:05,2.67,14.13,2024-10-12 21:12:51
Magdalena,Breña,Centro de Distribución,Punto de Entrega,-11.940108248366442,-77.04490106791415,-11.82478156432109,-76.90654818241636,89:28,21.35,64.74,2024-09-19 21:12:51
Jesús María,Chorrillos,Centro de Distribución,Punto de Entrega,-12.171496205354396,-77.04346990431398,-11.813465669488174,-76.90738434317008,6:34,4.54,13.2,2024-10-18 21:12:51
San Juan de Lurigancho,Chorrillos,Centro de Distribución,Punto de Entrega,-12.11956804672523,-76.92980759808037,-11.857231721117925,-76.93272286232909,80:15,26.91,68.81,2024-10-06 21:12:51
Los Olivos,San Juan de Lurigancho,Centro de Distribución,Punto de Entrega,-11.867920262682789,-77.03291556869742,-11.99986452767356,-76.80710723001236,30:14,23.87,33.43,2024-10-04 21:12:51
