Origen,Destino,Tipo_Origen,Tipo_Destino,Latitud_Origen,Longitud_Origen,Latitud_Destino,Longitud_Destino,Tiempo_Recorrido,Distancia_km,Costo
Calle Tiziano,Calle Bellavista,Punto de Entrega,Punto de Entrega,-11.877397083129152,-77.1740716791529,-12.415319818285301,-76.82686842292337,53:28,12.76,22.65
Calle Hernando de Lavalle,Av. Nicolás Arriola,Punto de Entrega,Centro de Distribución,-11.835030406540907,-76.77151311186775,-11.918533144797948,-76.8359236837418,9:54,4.48,12.89
Av. Naciones Unidas,Calle Manco Cápac,Punto de Entrega,Punto de Entrega,-11.818173309048834,-76.80606617242738,-11.807604286019451,-77.08968637931244,37:59,12.7,37.91
Av. Alfredo Mendiola,Av. César Vallejo,Punto de Entrega,Punto de Entrega,-12.016677481534963,-77.00152087702033,-11.714596285854752,-77.0619586310858,9:18,5.16,12.54
Av. 2 de Mayo,Av. Alfredo Mendiola,Punto de Entrega,Punto de Entrega,-12.02664273315652,-76.77104352968368,-12.213436111502846,-76.81356361398376,44:09,30.23,36.83
Calle Sánchez Cerro,Calle Sucre,Punto de Entrega,Centro de Distribución,-11.865187091847412,-77.14843641226086,-11.707094336753734,-77.22421938713494,36:46,24.6,44.55
Av. Pizarro,Av. Canadá,Centro de Distribución,Punto de Entrega,-12.404131573863424,-76.82283251957853,-12.121401354223865,-77.2777105713403,10:16,7.87,12.77
Calle Pérez de Cuéllar,Av. Naciones Unidas,Punto de Entrega,Punto de Entrega,-11.816693378466805,-77.17906268007559,-11.798695973487773,-76.84131723817661,55:30,33.7,94.18
Av. Central,Av. Arequipa,Centro de Distribución,Punto de Entrega,-12.425685950015167,-76.9402634881549,-12.073487808020838,-77.194941163987,41:09,17.36,49.87
Calle Melchor Paz,Av. Guillermo Prescott,Punto de Entrega,Punto de Entrega,-12.106700435128321,-76.76718759818185,-11.93509625308526,-76.70260868939327,96:08,70.72,107.87
Calle Chancay,Av. Alcázar,Centro de Distribución,Punto de Entrega,-12.380317957734276,-76.84522381447817,-12.192514810757853,-76.74712255027957,23:14,13.62,42.02
Calle Los Gladiolos,Jr. de la Unión,Centro de Distribución,Punto de Entrega,-12.371132720644107,-77.28778554842926,-12.09074443088216,-77.19958475258387,13:03,7.89,12.43
Av. Alcázar,Av. Almirante Grau,Centro de Distribución,Punto de Entrega,-11.799211470630304,-77.19083919964163,-11.76263666324128,-76.8944160008059,82:54,44.18,108.32
Calle José Galvez,Av. Huaylas,Centro de Distribución,Punto de Entrega,-11.798355687795292,-77.07908470948175,-12.060603189448305,-76.95353052150402,53:29,44.22,94.56
Calle Chiclayo,Av. Nicolás Arriola,Punto de Entrega,Punto de Entrega,-12.057257078996262,-77.00567422168253,-12.49976389271378,-76.97228052097128,27:08,20.27,43.78
Calle Miroquesada,Calle Pardo de Zela,Centro de Distribución,Punto de Entrega,-12.193037497737016,-77.11943427852711,-12.21210542075695,-77.14502322683371,42:59,15.04,30.4
Calle Bolognesi,Calle José Balta,Centro de Distribución,Punto de Entrega,-12.434701270405089,-77.13263155333787,-12.25095410726977,-76.72113330664858,47:04,9.49,20.29
Calle Chacaltana,Av. Nicolás Arriola,Centro de Distribución,Punto de Entrega,-11.955394372707335,-76.95811365487144,-11.756751446394542,-77.28683992980135,53:30,41.58,75.29
Av. Tomás Marsano,Calle Berlín,Centro de Distribución,Punto de Entrega,-12.014480552872397,-77.20816542887741,-12.003567251682657,-76.96747138432191,55:52,35.7,78.9
Av. Caminos del Inca,Calle Santa Inés,Centro de Distribución,Punto de Entrega,-12.153208355177055,-76.89788946738231,-12.270902775938387,-76.74402823365521,26:07,19.83,44.56
Calle Miguel Grau,Calle Berlín,Centro de Distribución,Punto de Entrega,-12.085267245920793,-76.74808724689436,-12.402184461371741,-77.21064372895705,15:54,6.78,24.26
Calle Tarapacá,Av. Malecón Checa,Punto de Entrega,Centro de Distribución,-12.233285338398954,-77.06708448349293,-11.866331262916603,-76.83226350657121,10:24,2.87,15.26
Jr. de la Unión,Calle Pérez de Cuéllar,Punto de Entrega,Punto de Entrega,-12.455746144296098,-77.22432814050761,-11.878742850186573,-77.29568501264364,76:15,26.93,56.22
Calle Fernando Faura,Av. Central,Punto de Entrega,Punto de Entrega,-12.432918979088122,-76.95877626568887,-12.266377932130213,-77.07721062863622,56:36,22.55,60.45
Calle Monte Rosa,Calle Cantuarias,Punto de Entrega,Punto de Entrega,-12.451702823073816,-77.20670485046409,-12.454598021791552,-76.8707031163174,64:49,34.76,47.38
Av. Larco,Calle Bartolomé Herrera,Punto de Entrega,Punto de Entrega,-11.773971858587604,-77.25360114589755,-11.837567763927858,-76.78430759221034,114:43,67.95,136.24
Av. Guillermo Prescott,Av. Túpac Amaru,Centro de Distribución,Punto de Entrega,-12.029184257153458,-76.97472477594063,-11.828453450444718,-77.146866067781,44:02,31.99,67.19
Av. Guardia Republicana,Av. Colonial,Centro de Distribución,Punto de Entrega,-12.253917024535015,-77.11297395235108,-12.061193734285037,-77.19379981016124,11:58,4.44,10.85
Av. Arequipa,Calle Alcanfores,Punto de Entrega,Punto de Entrega,-11.855899088698953,-77.05593174865885,-11.866564875912832,-77.28420557334415,86:18,64.54,120.44
Calle Miroquesada,Calle Antonio Raymondi,Centro de Distribución,Punto de Entrega,-11.752430473186728,-77.1091087915309,-12.45720208680709,-76.84388612716813,63:43,17.72,51.25
Calle Chiclayo,Av. César Vallejo,Centro de Distribución,Punto de Entrega,-12.258188651997768,-77.19600633533166,-12.201623686852631,-76.97373327625385,98:47,75.32,113.71
Calle Bolognesi,Av. Enrique Meiggs,Punto de Entrega,Punto de Entrega,-12.405407665154371,-76.78175104998215,-12.037687598569713,-76.94960909201032,20:18,7.24,18.67
Av. Alcázar,Av. Guardia Civil Sur,Punto de Entrega,Centro de Distribución,-12.29609633856098,-77.22164535818281,-12.029578813825944,-76.99522213237076,11:22,1.92,11.21
Calle Puno,Av. Enrique Meiggs,Punto de Entrega,Centro de Distribución,-11.968086248918397,-77.0909564204717,-12.471662933763842,-77.16105299716419,86:41,46.92,107.99
Av. Arequipa,Av. Abancay,Punto de Entrega,Centro de Distribución,-12.06849007721982,-77.27037007541026,-12.385085209205538,-76.71164648807232,67:15,28.23,90.6
Calle Amazonas,Av. Las Palmeras,Punto de Entrega,Centro de Distribución,-12.376877482908734,-77.23771000649205,-12.294151991263766,-77.19993725841084,16:26,5.38,13.87
Calle Hernando de Lavalle,Calle Zorritos,Punto de Entrega,Centro de Distribución,-12.112656402870176,-77.17453958741974,-12.396075504040203,-77.1130358396927,80:01,15.42,31.59
Av. Salaverry,Calle Chiclayo,Centro de Distribución,Punto de Entrega,-11.908677523630493,-76.8654767028348,-12.023562455013716,-77.04387846343714,84:33,26.48,48.17
Av. San Juan,Av. Los Frutales,Centro de Distribución,Punto de Entrega,-11.938891203990943,-76.95375155014543,-11.909932462710241,-77.29443404094991,14:54,8.73,21.21
Calle Las Magnolias,Calle Pardo de Zela,Centro de Distribución,Punto de Entrega,-11.770785879649857,-76.97694497944923,-12.338349750901166,-76.94504248556142,109:54,84.73,126.96
Av. Los Álamos,Calle Angamos Oeste,Centro de Distribución,Punto de Entrega,-12.418550046862315,-76.94982112549398,-11.873157634934223,-77.00008199444356,17:14,10.46,20.19
Calle Montero Rosas,Calle Ucayali,Punto de Entrega,Punto de Entrega,-11.81280154667914,-76.73133289055426,-12.451229180039425,-76.92934427442798,78:59,36.07,86.79
Calle Lima,Av. La Paz,Centro de Distribución,Punto de Entrega,-11.763537909167237,-76.83623975494594,-11.799845330326862,-76.78827407173947,72:12,19.66,33.74
Calle Los Gladiolos,Calle Pardo de Zela,Punto de Entrega,Centro de Distribución,-12.497816545788455,-77.17240539551192,-12.014371469386253,-77.28225603921916,12:37,8.89,23.99
Av. Aviación,Av. Dueñas,Centro de Distribución,Punto de Entrega,-11.864044228443253,-76.761333273143,-12.274724252532058,-76.75039142546103,25:48,16.66,36.64
Av. El Sol,Av. Alfonso Ugarte,Punto de Entrega,Punto de Entrega,-12.027199036007666,-77.2496886250751,-12.488243372201955,-76.87524569786224,24:25,17.94,37.3
Calle Berlín,Av. Óscar R. Benavides,Punto de Entrega,Centro de Distribución,-12.337007310253638,-77.21975481524885,-12.39030302813037,-77.00567412486699,110:05,51.76,81.68
Av. Pardo y Aliaga,Av. Costanera,Punto de Entrega,Punto de Entrega,-11.752843051995274,-77.14744891496944,-12.477408514412042,-77.18855995150965,71:53,27.96,67.51
Calle Lord Cochrane,Av. Caminos del Inca,Punto de Entrega,Punto de Entrega,-12.443263876773772,-77.2878834758736,-11.879521279067148,-77.15653703613872,88:46,56.86,126.4
Calle Gamarra,Calle Miroquesada,Centro de Distribución,Punto de Entrega,-11.718021831380145,-76.75715342837076,-11.865122349778993,-77.17475664272281,111:23,45.77,107.77
Calle Ramón Zavala,Calle Loreto,Punto de Entrega,Centro de Distribución,-12.139171613886468,-77.28699708505802,-11.76307427887186,-77.26082000003161,85:47,26.7,32.17
Av. Aviación,Av. Canto Grande,Punto de Entrega,Punto de Entrega,-12.216433610039724,-77.22608570645467,-12.350019175564967,-76.90944116109489,56:46,35.31,52.85
Av. Gregorio Escobedo,Av. Pizarro,Punto de Entrega,Punto de Entrega,-12.257573256859146,-76.76362391256043,-12.087010812328206,-77.02669879465525,34:15,17.76,34.9
Calle Medrano Silva,Calle Lima,Centro de Distribución,Punto de Entrega,-12.425281883868076,-76.76280442702333,-12.350009255094829,-77.19503525643576,66:41,48.03,62.32
Av. El Corregidor,Calle Ignacio Merino,Centro de Distribución,Punto de Entrega,-11.830637051306164,-77.05909745228878,-12.107540044382093,-77.0290883735522,83:16,35.99,66.28
Calle San Francisco,Av. Primavera,Centro de Distribución,Punto de Entrega,-12.070154197656523,-77.14624177663356,-12.291379247848294,-77.00742004374436,113:01,55.56,68.49
Calle Porta,Av. Pardo de Zela,Centro de Distribución,Punto de Entrega,-12.079461782881603,-77.17916496044731,-11.843129086857973,-77.20193583429122,95:49,19.21,40.16
Av. Colonial,Calle Bartolomé Herrera,Punto de Entrega,Punto de Entrega,-11.880993592013493,-76.73753382941355,-12.45264040792126,-77.29531395615409,115:57,90.71,198.14
Av. Pardo,Av. La Marina,Centro de Distribución,Punto de Entrega,-12.360952207159592,-76.86339521124685,-11.952578514931274,-76.89692871363387,58:27,23.74,64.49
Calle Colón,Calle Las Rosas,Punto de Entrega,Punto de Entrega,-12.425713430846038,-77.13762511664235,-12.116056456306538,-77.18726281314024,108:56,39.25,94.34
Av. Túpac Amaru,Calle Camaná,Punto de Entrega,Centro de Distribución,-12.41382854105629,-77.20509918442328,-11.839947710320935,-76.78446808649558,62:44,20.65,64.57
Av. Velasco Astete,Av. Petit Thouars,Centro de Distribución,Punto de Entrega,-11.746449602209818,-76.98744724390701,-12.352508536292667,-76.94063696885337,86:15,45.63,77.18
Av. Huánuco,Calle Junín,Centro de Distribución,Punto de Entrega,-12.404888081858362,-76.83316522285173,-12.420043968868972,-76.71528683260165,87:10,29.17,75.67
Calle Alcanfores,Av. La Molina,Centro de Distribución,Punto de Entrega,-11.973100929230398,-77.06932997770943,-12.294699349879748,-76.75137820366342,13:24,3.91,14.73
Av. Aramburú,Calle Las Flores,Centro de Distribución,Punto de Entrega,-12.199361743343491,-76.72656192852644,-11.77030103634177,-77.06685648047964,15:50,4.55,12.9
Av. Faucett,Av. Alfredo Mendiola,Centro de Distribución,Punto de Entrega,-12.484300962686245,-76.77182370102499,-12.37276962988058,-76.87673062164058,40:12,31.3,42.85
Av. Separadora Industrial,Calle San Francisco,Punto de Entrega,Centro de Distribución,-12.370246873300486,-77.09762747105292,-12.332988775230243,-77.02516425060394,25:45,18.95,25.48
Calle Narciso de la Colina,Av. Guardia Civil,Punto de Entrega,Punto de Entrega,-12.459755324200552,-76.71019164814875,-11.976968687520188,-77.26134967232183,75:11,41.21,68.34
Calle José Santos Chocano,Av. El Corregidor,Punto de Entrega,Punto de Entrega,-12.378687518422968,-76.77067038501411,-12.20940285709616,-77.08166799859089,113:27,80.41,136.7
Av. Palmeras,Calle San Borja Sur,Centro de Distribución,Punto de Entrega,-12.394129668341494,-77.07351726418047,-12.20262109285883,-76.74151203930603,22:19,8.24,20.96
Calle Aljovín,Av. Colonial,Punto de Entrega,Centro de Distribución,-12.405741040066074,-77.10390792781475,-12.125874333914279,-76.86611084409667,24:06,12.14,32.43
Calle Hermanos Catari,Av. Guardia Civil Norte,Centro de Distribución,Punto de Entrega,-12.066010422644004,-77.22380757827968,-11.944514440566087,-76.72814692939647,30:59,6.05,25.24
Calle Las Lilas,Av. Guardia Civil,Punto de Entrega,Centro de Distribución,-12.054180239321292,-76.79555257192264,-11.940818808149963,-77.13543700576632,85:50,29.82,88.91
Av. Colonial,Av. Los Frutales,Centro de Distribución,Punto de Entrega,-12.345774205647126,-77.258847415522,-11.95642019730011,-76.74746693526484,22:42,7.86,23.9
Calle Enrique Villar,Av. Belén,Punto de Entrega,Punto de Entrega,-11.890512940607872,-77.00651404411518,-11.922665358861773,-76.85191818730043,16:18,10.87,26.33
Av. Salaverry,Av. Caminos del Inca,Centro de Distribución,Punto de Entrega,-11.843297179809205,-77.1090754135641,-12.086955643667396,-76.98835257188459,62:17,25.1,62.99
Av. Los Quechuas,Calle Pérez de Cuéllar,Punto de Entrega,Centro de Distribución,-11.95902124997737,-77.2571056621837,-12.241953255301691,-76.78741777905698,49:06,31.96,33.79
Calle Las Flores,Calle Amazonas,Centro de Distribución,Punto de Entrega,-11.930862073977883,-77.0262567995005,-12.160472153734593,-77.23537124785139,37:04,6.24,27.91
Calle Los Robles,Calle Francisco Lazo,Punto de Entrega,Punto de Entrega,-11.847281896009065,-77.02420941195581,-11.7027640639851,-77.21121274024863,16:17,3.43,14.87
Av. Iquitos,Calle Gerardo Unger,Punto de Entrega,Punto de Entrega,-12.214706424137601,-76.9868411783186,-11.780189202909792,-77.23933417698997,82:30,22.02,56.92
Calle Las Gardenias,Calle Mártir Olaya,Centro de Distribución,Punto de Entrega,-12.270429490112653,-77.10251166815303,-11.908761030675734,-76.9344652396853,26:37,5.16,16.32
Av. Santa Rosa,Av. Primavera,Punto de Entrega,Punto de Entrega,-12.150666016385305,-76.74899018054543,-12.343121114891389,-76.89113015265123,118:30,39.55,83.99
Av. Los Frutales,Av. Primavera,Punto de Entrega,Punto de Entrega,-11.902980469104637,-77.17360321923549,-12.111940478584383,-76.93095300451284,116:39,30.65,76.61
Av. Costanera,Calle Lima,Punto de Entrega,Centro de Distribución,-12.342060929520917,-76.88429389508454,-12.086488872336112,-77.04481412941662,38:22,27.88,49.81
Av. Caminos del Inca,Av. Malecón Checa,Centro de Distribución,Punto de Entrega,-11.743239273424717,-77.11395368028225,-12.227580995563441,-77.18721930814385,89:25,37.44,70.69
Calle Narciso de la Colina,Calle Santa Inés,Punto de Entrega,Centro de Distribución,-12.243555411023175,-76.71421141734987,-12.2812073800394,-76.84691249258262,51:04,36.96,61.84
Calle Los Jazmines,Calle Alcanfores,Punto de Entrega,Punto de Entrega,-12.098699545162358,-76.72491697658917,-12.129820252695719,-76.88200733211204,7:16,4.89,9.4
Calle Amazonas,Calle La Luz,Punto de Entrega,Punto de Entrega,-12.397350221991276,-76.77674915026775,-12.381712458204664,-77.22278452638771,102:46,46.8,80.26
Av. Faucett,Av. 28 de Julio,Punto de Entrega,Centro de Distribución,-12.105559552198773,-76.91026826893045,-12.211795822919758,-77.00729940232199,114:23,67.21,126.02
Av. Los Quechuas,Av. Brasil,Punto de Entrega,Punto de Entrega,-11.779091971349345,-77.166986171284,-11.770692930519443,-77.11440242934735,14:16,4.74,16.64
Av. Las Palmeras,Calle Alcanfores,Centro de Distribución,Punto de Entrega,-12.12632477088521,-76.81099196486306,-11.854760973751334,-76.716485390834,114:58,20.82,64.13
Av. Alfredo Mendiola,Calle Libertad,Centro de Distribución,Punto de Entrega,-12.351585121799848,-76.92658128460916,-12.085318973811113,-76.78608311897084,106:04,70.01,159.85
Calle Ignacio Merino,Calle Las Orquídeas,Punto de Entrega,Centro de Distribución,-12.031734303678814,-76.94150869698292,-12.444775035019546,-76.77418972282813,61:00,31.51,29.95
Av. Próceres de la Independencia,Av. San Felipe,Centro de Distribución,Punto de Entrega,-12.245033207415027,-76.97860614855979,-12.03036977807171,-77.24013803921702,63:12,35.05,72.64
Av. Colonial,Calle Los Cedros,Centro de Distribución,Punto de Entrega,-11.846878886668124,-76.94856339347685,-11.990439063196815,-76.85139912167384,110:40,80.9,143.39
Av. Los Quechuas,Calle Bolívar,Punto de Entrega,Punto de Entrega,-12.325827424824128,-76.71245974377939,-12.463328363952472,-76.80112788630379,59:30,38.71,66.89
Jr. de la Unión,Av. Guardia Civil,Centro de Distribución,Punto de Entrega,-11.76965670652277,-76.88448348342607,-12.36066839734042,-76.8246149746297,58:35,29.87,50.21
Calle Los Castaños,Av. Benavides,Centro de Distribución,Punto de Entrega,-12.249609337640134,-77.19156322772498,-11.980877285050784,-77.21954037061006,16:26,9.89,25.96
Calle Pérez de Cuéllar,Calle Berlín,Centro de Distribución,Punto de Entrega,-12.008934220241075,-77.29337583969213,-11.900451017881439,-76.8415169603502,35:44,22.38,61.99
Calle Amazonas,Calle Batalla de Junín,Centro de Distribución,Punto de Entrega,-11.817096364217917,-76.91278356818475,-12.230651294625293,-77.19880472661447,30:22,22.32,42.11
Calle Ignacio Merino,Av. Guardia Civil Sur,Centro de Distribución,Punto de Entrega,-11.862833623840572,-77.29843244222805,-11.723377876695107,-76.8995628673443,77:12,37.02,85.97
Calle Lord Cochrane,Av. Abancay,Punto de Entrega,Punto de Entrega,-12.011117072987227,-77.26613759953155,-12.421192246180736,-76.89418166609703,71:56,46.91,60.09
Av. Colonial,Av. La Marina,Punto de Entrega,Punto de Entrega,-12.32342816068647,-77.19854040397732,-11.813419504351648,-77.03227626867134,53:21,16.09,39.1
Calle Mendiburu,Calle Augusto Durand,Punto de Entrega,Centro de Distribución,-12.439766030390238,-76.7508944876443,-11.903276510455981,-77.00747860547085,87:43,35.27,79.11
Av. Gregorio Escobedo,Calle Ignacio Merino,Punto de Entrega,Centro de Distribución,-12.22867804336593,-76.85761046192485,-12.177900443101047,-77.10533596664253,52:24,26.0,59.96
Av. San Juan,Av. Alcázar,Centro de Distribución,Punto de Entrega,-12.305780226574344,-76.933220818528,-11.829859929897324,-77.11874843249693,47:30,9.23,18.46
Calle Zorritos,Calle Augusto Durand,Centro de Distribución,Punto de Entrega,-12.363307123915563,-76.8667828197268,-11.8778397803246,-76.77043513774025,30:56,23.13,41.52
Calle Narciso de la Colina,Calle Porta,Centro de Distribución,Punto de Entrega,-12.015617371664266,-77.14989581253957,-11.856042501803838,-77.25154923140721,39:36,25.87,59.2
Av. San Borja Norte,Calle Pisco,Punto de Entrega,Centro de Distribución,-12.20046374220139,-77.24684364109179,-12.384677970166704,-77.18613053662901,58:34,44.88,69.15
Av. El Corregidor,Calle Berlín,Punto de Entrega,Punto de Entrega,-12.268080509937324,-77.11094192144466,-11.965595025271849,-76.7367125215809,31:53,25.36,44.58
Calle Puno,Av. Alfonso Ugarte,Centro de Distribución,Punto de Entrega,-11.874101277287572,-77.08703285625933,-11.989838111393585,-76.80278349487253,35:49,13.04,30.38
Av. Enrique Meiggs,Calle Las Dalias,Centro de Distribución,Punto de Entrega,-12.397420976071166,-76.76717906397114,-12.351339852805634,-76.77335935683395,82:29,19.91,56.64
Calle Huancavelica,Calle José Galvez,Punto de Entrega,Centro de Distribución,-11.981487808942704,-77.24186477258445,-12.27824564558316,-76.96593479464671,7:00,4.6,12.09
Calle Madrid,Calle Santa Rosa,Punto de Entrega,Punto de Entrega,-11.794567354701453,-76.71016920964674,-12.48252534689023,-76.93993019479231,77:10,25.27,69.55
Calle San Francisco,Av. San Felipe,Punto de Entrega,Centro de Distribución,-12.31192240570507,-76.75350379871035,-11.772745187519742,-77.25608669128997,6:49,5.33,13.29
