Origen,Destino,Tipo_Origen,Tipo_Destino,Latitud_Origen,Longitud_Origen,Latitud_Destino,Longitud_Destino,Tiempo_Recorrido,Distancia_km,Costo
Jr. Arequipa 202,Ctra. Benavides 17,Centro de Distribución,Punto de Entrega,-12.174700711311656,-77.13639246108175,-12.150574859559757,-77.07880356753175,83:30,53.42,69.58
Calle Los Castaños,Ctra. San Juan de Lurigancho 313,Centro de Distribución,Punto de Entrega,-11.872432049287442,-76.83276003189617,-11.890513056596578,-77.09389399492065,30:00,21.23,27.75
Calle Los Pinos,Jr. Vargas 412,Punto de Entrega,Centro de Distribución,-12.153822853778442,-76.96835716524564,-12.146470517703458,-76.90276969305097,79:20,40.63,111.44
Jr. Santa Lucía 270,Av. Olaya 454,Centro de Distribución,Punto de Entrega,-11.992504293270267,-76.94640293625137,-12.116291242792196,-77.14002943759242,89:24,48.01,120.45
Av. Mendoza 87,Diagonal Brasil 233,Punto de Entrega,Centro de Distribución,-11.892759652331033,-77.10760714124834,-11.951527133728503,-76.8412477172892,90:50,54.56,101.96
Calle Brasil 187,Calle Antonio Raymondi,Centro de Distribución,Punto de Entrega,-12.188499143010334,-76.94126152777154,-11.98865118302498,-76.82292301681646,19:42,10.02,31.34
Pasaje Villa El Salvador 164,Ctra. Jesús María 365,Punto de Entrega,Centro de Distribución,-12.06116353332694,-76.9389056434059,-12.13166215354477,-76.94691331976635,117:11,84.68,77.58
Paseo Vargas 313,Ctra. San Luis 50,Punto de Entrega,Centro de Distribución,-11.884301862138045,-77.13718077960907,-11.867310290560912,-76.97388119020722,52:01,41.1,104.56
Ctra. Santa Lucía 465,Jr. Barranco 7,Punto de Entrega,Punto de Entrega,-12.146183444544972,-77.15741212645699,-12.147862131150736,-77.10967619591405,90:36,66.58,129.23
Bulevar Brasil 76,Av. Caminos del Inca,Punto de Entrega,Punto de Entrega,-11.833632680549588,-77.10543153955105,-12.02907959434553,-77.02528488875359,110:50,44.08,81.39
Diagonal Santa Rosa 408,Jr. Miraflores 153,Punto de Entrega,Centro de Distribución,-12.030508382026873,-76.85927312398384,-11.993392232420188,-76.92336469853598,96:55,21.41,69.6
Av. México,Jr. La Molina 393,Punto de Entrega,Centro de Distribución,-11.945739987283067,-77.1989915597652,-11.94368014616368,-76.85645549525185,68:20,43.57,51.38
Calle Angamos 362,Bulevar La Victoria 386,Punto de Entrega,Punto de Entrega,-11.845858795548505,-77.18112291336617,-11.826599707962712,-76.80830594479173,113:11,61.19,124.95
Camino La Marina 198,Jr. Mendoza 492,Centro de Distribución,Punto de Entrega,-11.887095507252488,-76.9347355706135,-11.814188728937696,-76.82319530511226,22:11,8.38,24.03
Diagonal La Punta 56,Bulevar La Victoria 130,Punto de Entrega,Punto de Entrega,-12.132937276986723,-77.07388690182164,-12.136536980279464,-76.87795453771048,45:52,37.49,43.46
Av. Los Pinos,Ctra. Santa Lucía 147,Punto de Entrega,Centro de Distribución,-12.15219353789367,-77.11535834792421,-11.87574573274661,-77.03760523013736,19:25,12.52,22.93
Calle José Pardo 417,Paseo José Pardo 281,Centro de Distribución,Punto de Entrega,-12.112309994778911,-77.0224490878703,-12.105166532253287,-76.97146522552688,76:11,15.86,39.77
Av. Huaylas,Calle La Punta 50,Centro de Distribución,Punto de Entrega,-12.058348110179988,-77.10823773331181,-12.070735104075904,-77.11453222268138,33:01,21.59,33.17
Diagonal Pueblo Libre 118,Calle Mártir Olaya,Punto de Entrega,Centro de Distribución,-11.92723651925233,-76.88011048290944,-12.092975365458518,-77.18061489133066,119:03,40.04,82.43
Av. Garcilaso de la Vega,Bulevar Angamos 469,Centro de Distribución,Punto de Entrega,-11.906963161258005,-77.15387200685403,-12.017824433483176,-76.91173114142795,109:04,88.07,190.68
Ctra. Jesús María 100,Bulevar Vargas 236,Centro de Distribución,Punto de Entrega,-12.073380086596911,-76.82575056864441,-12.081329352208213,-76.86882409599887,98:41,32.48,62.57
Ruta Comas 19,Calle Camaná,Centro de Distribución,Punto de Entrega,-11.801441971008492,-76.92841025479945,-11.871542685074697,-77.02108128727497,36:57,12.17,36.98
Camino Sucre 398,Calle San Juan 390,Centro de Distribución,Punto de Entrega,-11.892212348476322,-77.08193351581725,-12.114433418802994,-76.91489083275887,37:39,17.28,43.59
Av. Javier Prado,Calle Francia,Punto de Entrega,Punto de Entrega,-11.833558200628008,-76.97578800100625,-12.091402572061753,-76.97679722455229,77:44,39.91,66.17
Diagonal Jesús María 305,Pasaje Pucusana 82,Punto de Entrega,Punto de Entrega,-11.813980727631623,-76.93321963500475,-11.94924103123457,-76.89904905739574,71:13,24.19,53.6
Jr. San Borja 226,Jr. Brasil 280,Centro de Distribución,Punto de Entrega,-12.13377019254067,-76.95716723505457,-11.958297876086199,-76.82675208867275,93:40,24.64,49.63
Calle Chorrillos 6,Calle Ate 357,Centro de Distribución,Punto de Entrega,-11.901334262110396,-77.18395727061076,-12.18295802788714,-77.00239268317631,97:30,53.92,71.43
Ruta Cercado 99,Ctra. La Molina 457,Centro de Distribución,Punto de Entrega,-12.040679180945528,-76.85659135580596,-11.968238613931735,-76.93449387231269,63:12,24.81,60.21
Paseo Magdalena del Mar 280,Calle Pueblo Libre 106,Punto de Entrega,Centro de Distribución,-11.82945981195917,-76.80237964813254,-11.894582092605114,-76.94384056720884,14:09,2.94,13.42
Calle Alcanfores,Jr. Cercado 310,Punto de Entrega,Punto de Entrega,-12.106618787553302,-77.11843514849978,-12.051597124906904,-76.84284746995564,7:01,1.53,8.97
Av. Lince 146,Pasaje Colón 483,Punto de Entrega,Punto de Entrega,-12.12605776319648,-76.9168987139167,-12.107346266825264,-76.93644324133352,64:34,23.84,57.35
Jr. Lurín 129,Calle Nicolás de Piérola,Punto de Entrega,Punto de Entrega,-11.808697707942489,-77.07742717802043,-11.822033214364248,-76.92292738276743,95:09,17.83,65.25
Calle Bolognesi,Calle Bolívar,Centro de Distribución,Punto de Entrega,-12.071782267454118,-77.00810601287728,-11.880919679055584,-76.83261856014691,61:51,16.38,50.03
Camino Sucre 322,Ruta Angamos 269,Punto de Entrega,Centro de Distribución,-12.112105997291323,-76.82316368096228,-12.164665656993567,-76.8238555179408,43:53,28.22,39.24
Bulevar Magdalena del Mar 343,Av. Enrique Meiggs,Centro de Distribución,Punto de Entrega,-12.048351045245969,-76.84447669177537,-11.929508915323282,-76.82308000678509,48:16,10.1,25.79
Diagonal San Martín 360,Ruta Lince 29,Centro de Distribución,Punto de Entrega,-12.100203251211656,-76.87329937227955,-12.01304818333377,-76.90805028484496,27:56,12.4,30.55
Calle Lince 13,Pasaje Colón 123,Centro de Distribución,Punto de Entrega,-12.040673512549926,-76.80638700765307,-12.143420208997684,-76.92865090168425,5:46,1.99,9.76
Calle Angamos 118,Calle Comas 279,Punto de Entrega,Punto de Entrega,-12.110104590039802,-76.81329904806421,-12.015877521166338,-76.90543881909423,93:05,46.57,53.56
Ruta Mendoza 271,Ctra. Santa Lucía 405,Punto de Entrega,Centro de Distribución,-11.847885958719566,-76.89897044350685,-12.196668021822024,-77.01617744939821,69:25,27.44,89.92
Ruta Chorrillos 92,Av. Pardo y Aliaga,Centro de Distribución,Punto de Entrega,-11.808817261068498,-77.11187999896839,-12.17680837330651,-76.99808090521407,101:12,41.89,105.99
Av. Comas 359,Paseo Vargas 34,Punto de Entrega,Punto de Entrega,-11.96415731990866,-76.86714732446845,-12.153663814357094,-77.1705654498614,42:45,7.53,30.39
Ruta San Borja 172,Ruta San Isidro 289,Centro de Distribución,Punto de Entrega,-11.903401378858943,-76.97680124365944,-12.075097959538214,-76.91695147997171,101:45,41.78,66.88
Ruta La Paz 102,Av. San Borja 76,Punto de Entrega,Centro de Distribución,-12.119930198274115,-76.86778494262083,-11.839536942670795,-77.0371133155947,87:25,42.46,106.83
Ruta Rímac 42,Av. Chaclacayo 446,Centro de Distribución,Punto de Entrega,-11.886436151201952,-77.05864606974589,-12.133284731414975,-76.99049187781718,63:01,32.4,69.66
Pasaje Pucusana 82,Bulevar Comas 274,Centro de Distribución,Punto de Entrega,-12.097176876830693,-76.86417411578749,-12.04153872725951,-76.96037572114044,43:32,22.73,45.66
Ruta Pucusana 344,Jr. El Agustino 455,Centro de Distribución,Punto de Entrega,-12.112692889605258,-77.04383017980804,-12.014502816134327,-76.99503085342913,30:25,12.19,15.57
Ruta La Marina 312,Calle Comas 136,Punto de Entrega,Centro de Distribución,-12.186265794737274,-77.1874135557677,-11.823862574102078,-77.04251241636128,83:33,67.23,125.72
Calle La Victoria 296,Ruta Angamos 96,Centro de Distribución,Punto de Entrega,-12.039925503770926,-77.07714067635328,-11.909920709669013,-76.85890993675795,90:58,28.8,74.61
Av. Callao 101,Pasaje Colón 431,Centro de Distribución,Punto de Entrega,-12.17770887599055,-76.83092782224745,-11.806047552639775,-76.89071445407392,89:23,62.58,92.36
Ruta Las Flores 204,Av. Alcázar,Punto de Entrega,Punto de Entrega,-11.902941492230026,-76.94696402443628,-12.118994046189165,-76.91086966706632,99:39,22.65,48.18
Paseo Rímac 141,Calle Angamos 362,Centro de Distribución,Punto de Entrega,-12.134479792192165,-77.13220974702345,-11.856782519013821,-77.0111352913154,31:32,16.33,26.53
Bulevar San Luis 54,Calle Carabayllo 251,Punto de Entrega,Punto de Entrega,-11.840039885596441,-77.03044116411829,-12.050508449071527,-77.15105844750055,76:39,42.66,95.69
Bulevar San Luis 54,Av. Villa María del Triunfo 235,Punto de Entrega,Punto de Entrega,-11.855938467159882,-77.10489896320225,-11.884780861090947,-77.0438145767038,57:30,46.42,69.69
Pasaje Arequipa 431,Ruta Ate 366,Punto de Entrega,Punto de Entrega,-12.14567231643093,-76.94907667033127,-12.103198053841174,-76.9901902323233,70:00,12.93,39.52
Bulevar Arequipa 460,Bulevar Santa Rosa 140,Centro de Distribución,Punto de Entrega,-12.194272851123078,-76.91653907048843,-11.976586097847235,-77.0946608032749,59:27,37.25,92.82
Ruta Barranco 119,Calle Francia,Punto de Entrega,Centro de Distribución,-12.131142321677912,-77.13543277610832,-11.97625771849317,-77.1740658352121,34:09,23.47,51.45
Pasaje Arequipa 499,Paseo San Bartolo 46,Punto de Entrega,Centro de Distribución,-11.99626519522385,-77.17495201454703,-11.99640714478046,-77.18540216026486,18:55,6.77,20.53
Jr. Barranco 163,Pasaje Lurín 164,Punto de Entrega,Centro de Distribución,-12.072907132031098,-76.93372890243025,-11.919014540456573,-77.05061771835616,13:37,11.0,19.26
Bulevar Callao 79,Paseo Santa Rosa 437,Centro de Distribución,Punto de Entrega,-11.953233442005669,-77.15745895861058,-11.8834486168469,-76.96026546884444,80:53,57.32,126.44
Av. Abancay,Camino Universitaria 429,Punto de Entrega,Punto de Entrega,-11.921700796459714,-76.89458054020724,-11.847239640337424,-76.90545506527542,42:00,14.4,39.44
Av. Canto Grande,Ctra. El Sol 236,Centro de Distribución,Punto de Entrega,-11.917974885344194,-76.98999945480824,-11.840232612322882,-77.01714493713922,37:45,24.33,47.87
Calle Pueblo Libre 106,Bulevar Chaclacayo 63,Centro de Distribución,Punto de Entrega,-11.998873020612368,-76.84026339003289,-11.930245515560912,-77.0542259962153,6:32,1.4,9.45
Diagonal La Victoria 400,Ruta El Agustino 25,Centro de Distribución,Punto de Entrega,-12.097771427956888,-76.90180600774274,-11.965541108919847,-77.1497744513086,114:46,27.72,80.35
Av. Ate 415,Av. La Paz 277,Centro de Distribución,Punto de Entrega,-12.182075018619312,-77.16344104393262,-12.010801253817542,-76.92119203871398,34:37,16.08,46.84
Paseo Benavides 119,Diagonal San Bartolo 197,Centro de Distribución,Punto de Entrega,-12.003471582248515,-77.0089371214204,-12.119169219298316,-76.91868730925006,86:33,63.39,82.9
Calle Pueblo Libre 106,Diagonal Jesús María 364,Centro de Distribución,Punto de Entrega,-11.81573392995616,-76.86151914573162,-12.117063789309075,-77.10762773990477,116:48,33.48,98.7
Ruta Miraflores 440,Av. Abtao,Punto de Entrega,Centro de Distribución,-12.161577600397338,-77.02599145509097,-11.91734232765558,-76.89115353423857,27:48,7.28,20.79
Calle José Pardo 417,Jr. Arequipa 120,Punto de Entrega,Punto de Entrega,-11.99653192280466,-77.1210870622242,-12.107827235275858,-77.17062263518214,6:49,3.77,10.22
Ctra. Las Flores 417,Bulevar Jesús María 173,Punto de Entrega,Centro de Distribución,-11.811377667071357,-77.18409514679797,-12.107662258084549,-77.17882664205092,82:35,23.37,36.91
Av. Puente Piedra 380,Av. Santa Rosa,Centro de Distribución,Punto de Entrega,-12.042290544500062,-76.81543577910688,-11.909581970854262,-77.19999901916505,32:23,8.12,28.65
Ctra. Las Flores 87,Calle Los Castaños,Punto de Entrega,Punto de Entrega,-11.926140056271645,-76.80394193069074,-12.012078291512838,-77.1301952989255,38:13,6.55,24.86
Calle Sucre 316,Calle Enrique Palacios,Centro de Distribución,Punto de Entrega,-11.847785600837119,-77.05309896013354,-11.961052106970866,-76.88362477012966,97:36,57.87,93.2
Bulevar Chaclacayo 471,Pasaje Surco 3,Centro de Distribución,Punto de Entrega,-11.98710996567869,-77.16958010332655,-12.055903302605435,-77.03018029083701,91:12,63.44,99.76
Calle Jesús María 362,Ruta La Marina 312,Punto de Entrega,Punto de Entrega,-12.106367807624482,-76.90986459459933,-11.995717226754994,-77.15097196637878,53:17,23.4,43.36
Calle Miraflores 396,Diagonal San Juan de Lurigancho 409,Punto de Entrega,Centro de Distribución,-11.892401308257723,-77.16470175850802,-12.019519836134359,-76.93073411334629,62:22,42.25,90.38
Calle Tiziano,Ruta Miraflores 371,Centro de Distribución,Punto de Entrega,-11.844533734083573,-76.86801276995566,-12.083298381911504,-77.06441767991966,28:55,15.77,38.32
Calle San Martín 454,Camino Lurín 275,Punto de Entrega,Centro de Distribución,-11.96433871094449,-76.91373531719161,-12.188185026044831,-77.08197773236148,71:06,59.18,123.66
Paseo San Juan 246,Av. Pardo y Aliaga,Punto de Entrega,Punto de Entrega,-12.068736613277764,-77.12334087924187,-11.997589063448734,-76.8662505760987,49:07,20.98,50.81
Jr. San Bartolo 496,Ruta San Isidro 394,Punto de Entrega,Centro de Distribución,-11.826581240174894,-77.00211158116417,-12.112039080584665,-77.16394964881752,112:42,43.39,116.54
Bulevar Callao 19,Av. San Martín 29,Punto de Entrega,Punto de Entrega,-11.957954328137708,-77.01266721484427,-12.116247678917723,-77.12810184134642,48:50,30.99,52.02
Diagonal El Agustino 51,Jr. Lince 105,Punto de Entrega,Centro de Distribución,-12.168291150734856,-76.96003009311191,-12.185577301432092,-77.12680676954851,72:51,24.76,52.68
Diagonal Granados 181,Av. Brasil 106,Punto de Entrega,Centro de Distribución,-12.183621603735068,-76.84110513326111,-12.193314980530156,-76.9403982287299,56:19,39.33,37.95
Jr. Pachacamac 49,Pasaje Barranco 339,Punto de Entrega,Centro de Distribución,-11.95770304155788,-76.84772727182549,-11.942696316826051,-76.85409769494495,12:50,5.96,19.05
Ruta Cercado 99,Camino Pachacamac 12,Punto de Entrega,Punto de Entrega,-12.05453318134559,-77.06887486028421,-11.909848358132265,-77.17263837980947,111:58,74.38,175.77
Diagonal Colón 311,Ruta Granados 248,Centro de Distribución,Punto de Entrega,-12.142096389837983,-76.96819047287279,-12.065431443434743,-77.10528050373809,36:17,15.88,43.42
Paseo Surco 321,Bulevar Chaclacayo 472,Punto de Entrega,Punto de Entrega,-11.918960320440908,-76.82540707102639,-11.822089051113018,-76.98099820922884,20:00,7.21,25.08
Calle La Punta 431,Av. Sucre 167,Punto de Entrega,Punto de Entrega,-11.876113106809349,-76.8564925015134,-12.08823258310467,-76.9642969710095,18:33,10.17,30.5
Av. El Derby,Ruta La Marina 191,Punto de Entrega,Punto de Entrega,-12.176226845883441,-76.86401037284678,-12.197800962998006,-76.99848153993686,96:26,45.21,107.72
Av. Colonial,Camino San Bartolo 105,Centro de Distribución,Punto de Entrega,-12.044420736811192,-76.84290348846335,-12.199125462555793,-77.07122218917242,55:34,19.11,54.61
Camino Lince 493,Jr. Callao 107,Punto de Entrega,Centro de Distribución,-12.188791846615992,-76.90394122606543,-11.991756317952756,-76.9307925497907,109:44,69.06,77.75
Pasaje Lurín 274,Ctra. Comas 306,Punto de Entrega,Centro de Distribución,-12.024119898787758,-76.86872110572693,-12.175028237595141,-77.08136893769279,5:10,3.01,12.12
Pasaje San Juan 113,Camino Ate 257,Centro de Distribución,Punto de Entrega,-11.805888372892634,-76.91162768302851,-12.190820782067407,-77.06884175401633,57:21,27.25,37.42
Ruta La Marina 312,Bulevar San Isidro 178,Punto de Entrega,Punto de Entrega,-12.102731106411014,-76.84652896154896,-11.867203131251284,-76.90402111404369,78:15,48.77,122.43
Calle Mendoza 419,Calle Callao 368,Centro de Distribución,Punto de Entrega,-11.8003683054602,-77.07498116917412,-11.982893445640137,-76.81182420546708,96:24,37.93,98.33
Bulevar Pachacamac 330,Calle Inti Raymi,Punto de Entrega,Centro de Distribución,-11.96866789434933,-77.14398101971925,-11.868683087277951,-76.99650218183692,111:35,49.32,115.1
Paseo Callao 411,Av. El Ejercito,Centro de Distribución,Punto de Entrega,-11.884754653964643,-76.80882810438044,-11.993024362464485,-77.16206096055373,101:41,80.72,134.52
Pasaje La Paz 97,Diagonal Santa Anita 314,Punto de Entrega,Punto de Entrega,-11.86354834292588,-76.97083637566406,-12.032107278708192,-76.97519347821287,42:25,28.7,45.92
Paseo San Luis 392,Av. Naciones Unidas,Punto de Entrega,Centro de Distribución,-11.951869350029295,-77.0907965752402,-12.13274304794977,-76.95985514294841,114:20,39.26,112.8
Calle Colón 137,Paseo Angamos 247,Centro de Distribución,Punto de Entrega,-11.8192669695087,-77.11932990409214,-12.19740259176214,-77.06979976174611,60:57,41.93,92.19
Av. El Sol 251,Ctra. Chorrillos 17,Punto de Entrega,Centro de Distribución,-11.841984195633612,-77.11434048776566,-11.96188738080241,-77.07751464118502,93:57,75.92,83.52
Pasaje Lurín 31,Diagonal San Bartolo 197,Centro de Distribución,Punto de Entrega,-11.985162962286157,-76.87901119935155,-12.041532771754959,-76.81701077946046,84:51,61.67,131.25
Ruta La Paz 499,Jr. La Molina 165,Centro de Distribución,Punto de Entrega,-11.898601813246815,-77.16636888650501,-12.097054638903566,-77.10595071343694,14:54,9.68,29.87
Calle San Luis 296,Jr. La Paz 248,Centro de Distribución,Punto de Entrega,-12.169122938293508,-77.0769877331289,-11.82669614470238,-76.87990841273079,75:12,36.91,76.57
Diagonal Jesús María 305,Calle Miguel Aljovín,Centro de Distribución,Punto de Entrega,-12.165510725879392,-76.97545972208106,-12.041803391656954,-76.91929826376206,113:33,89.39,138.81
Ctra. Miraflores 237,Camino Barranco 3,Punto de Entrega,Punto de Entrega,-11.89467940736057,-77.19089175369989,-11.898725570816731,-76.90000309372941,66:04,17.62,45.73
Calle Angamos 350,Ctra. Chorrillos 17,Centro de Distribución,Punto de Entrega,-12.060122984045071,-77.09183564255838,-11.960876171711574,-76.80386609058812,54:17,18.26,26.56
Bulevar Lince 193,Ctra. Santa Lucía 405,Punto de Entrega,Centro de Distribución,-11.955025363270302,-76.93968147983065,-12.002028213568712,-76.99947092022826,73:12,35.73,55.35
Calle Santa Inés,Ctra. San Bartolo 118,Punto de Entrega,Centro de Distribución,-11.859310827734824,-76.9381312714681,-12.045841713671416,-76.91487994492019,104:56,30.83,95.03
Av. Alfredo Mendiola,Pasaje Pueblo Libre 228,Centro de Distribución,Punto de Entrega,-11.95517287231174,-77.11277418336854,-12.128895346529834,-77.01401457865954,67:28,26.29,78.59
Ctra. San Isidro 143,Pasaje Benavides 184,Punto de Entrega,Punto de Entrega,-11.964695200387236,-77.16871603252345,-12.030234594043218,-77.1931063013369,84:14,46.31,102.33
Camino Surco 362,Ruta Las Flores 492,Punto de Entrega,Punto de Entrega,-12.186108551256183,-76.82174343980252,-11.979416090573,-77.07978226555383,6:30,2.66,8.95
Bulevar San Miguel 116,Camino Pueblo Libre 231,Punto de Entrega,Punto de Entrega,-12.145257618283969,-76.9569263188765,-11.926257489011581,-77.11081259530987,17:41,12.16,20.71
Diagonal Chorrillos 422,Av. El Sol 53,Punto de Entrega,Punto de Entrega,-11.855072041810116,-77.09552650960144,-11.829607297428048,-77.04623039599191,22:52,3.93,21.42
Camino La Molina 233,Diagonal Benavides 61,Centro de Distribución,Punto de Entrega,-11.823517300616915,-77.02975678996283,-12.037633718740489,-77.13418078328458,103:27,31.82,73.61
Calle Olaya 183,Diagonal Vargas 45,Punto de Entrega,Centro de Distribución,-12.189943667324147,-76.80641825792502,-12.124352709481814,-77.08042711728345,30:49,22.81,43.2
Ctra. Pachacamac 229,Pasaje Angamos 314,Punto de Entrega,Centro de Distribución,-11.85538271247689,-77.00471119582511,-11.820727594452082,-77.07288280003189,97:13,77.11,176.69
Pasaje La Marina 276,Ruta San Borja 123,Punto de Entrega,Centro de Distribución,-12.08645999180667,-77.09095420935661,-12.090920013804887,-76.92842949595695,34:12,12.55,32.12
Bulevar Pachacamac 330,Av. Santa Anita 116,Punto de Entrega,Punto de Entrega,-11.874835029709136,-76.98619972389457,-12.189878458207684,-77.07923190822709,111:29,67.7,156.5
Ruta Carabayllo 331,Ctra. Barranco 13,Centro de Distribución,Punto de Entrega,-11.97834164254592,-76.83226892883634,-12.161794805142135,-76.88028829355828,10:56,6.51,12.94
